Sector,Name,Price,52 Week High,52 Week Low
Financials,Hartford Financial Svc.Gp.,53.34,59.2,46.35
Consumer Discretionary,Hasbro Inc.,96.48,116.2,87.92
Health Care,HCA Holdings,95.97,106.84,71.18
Real Estate,HCP Inc.,22.64,33.67,22.8
Energy,Helmerich & Payne,64.87,75.02,42.16
Health Care,Henry Schein,70.85,93.495,65.28
Energy,Hess Corporation,43.0,55.48,37.25
Information Technology,Hewlett Packard Enterprise,15.04,24.88,12.815
Consumer Discretionary,Hilton Worldwide Holdings Inc,78.66,88.11,55.79
Health Care,Hologic,38.8,46.8,35.76
Consumer Discretionary,Home Depot,181.22,207.605,136.82
Industrials,Honeywell Int'l Inc.,146.02,165.13,119.31
Consumer Staples,Hormel Foods Corp.,32.21,38.0,29.75
Real Estate,Host Hotels & Resorts,18.75,21.53,17.26
Information Technology,HP Inc.,19.92,24.1,15.39
Health Care,Humana Inc.,262.37,293.35,189.01
Financials,Huntington Bancshares,15.1,16.53,12.14
Industrials,Huntington Ingalls Industries,225.37,253.44,183.42
Health Care,IDEXX Laboratories,169.28,198.73,140.63
Industrials,IHS Markit Ltd.,43.73,49.19,37.82
Industrials,Illinois Tool Works,156.15,179.07,126.52
Health Care,Illumina Inc,209.54,248.97,158.0203
Health Care,Incyte,83.92,153.15,84.21
Industrials,Ingersoll-Rand PLC,87.6,97.67,77.26
Information Technology,Intel Corp.,42.75,50.85,33.23
Financials,Intercontinental Exchange,67.0,76.1378,56.8
Information Technology,International Business Machines,147.59,182.79,139.13
Materials,International Paper,56.05,66.94,49.6
Consumer Discretionary,Interpublic Group,21.34,25.71,18.3
Materials,Intl Flavors & Fragrances,138.0,157.4,116.3
Information Technology,Intuit Inc.,152.75,170.59,111.9
Health Care,Intuitive Surgical Inc.,381.87,452.0,233.10643
Financials,Invesco Ltd.,31.92,38.43,29.36
Health Care,IQVIA Holdings Inc.,95.23,110.67,75.94
Real Estate,Iron Mountain Incorporated,32.07,41.53,32.05
Industrials,J. B. Hunt Transport Services,114.81,126.49,83.35
Industrials,Jacobs Engineering Group,62.82,72.18,49.31
Consumer Staples,JM Smucker,118.37,143.68,99.565
Health Care,Johnson & Johnson,126.36,148.32,113.15
Industrials,Johnson Controls International,36.55,44.37,34.51
Financials,JPMorgan Chase & Co.,107.88,117.3529,81.635
Information Technology,Juniper Networks,24.66,30.96,23.87
Industrials,Kansas City Southern,103.53,114.85,81.54
Consumer Staples,Kellogg Co.,65.98,76.69,58.76
Financials,KeyCorp,20.08,22.22,16.28
Consumer Staples,Kimberly-Clark,111.69,136.21,109.67
Real Estate,Kimco Realty,14.01,25.15,14.33
Energy,Kinder Morgan,16.8,22.75,16.56
Information Technology,KLA-Tencor Corp.,98.54,121.65,86.33
Consumer Discretionary,Kohl's Corp.,60.34,69.14,35.16
Consumer Staples,Kraft Heinz Co,71.58,97.77,72.05
Consumer Staples,Kroger Co.,27.57,34.75,19.69
Consumer Discretionary,L Brands Inc.,47.77,63.1,35.0
Industrials,L-3 Communications Holdings,198.79,218.705,159.43
Health Care,Laboratory Corp. of America Holding,165.46,181.715,130.292
Information Technology,Lam Research,162.23,219.7,113.1982
Consumer Discretionary,Leggett & Platt,43.99,54.97,42.0
Consumer Discretionary,Lennar Corp.,59.11,72.17,43.647053
Financials,Leucadia National Corp.,23.86,28.3,22.23
Health Care,Lilly (Eli) & Co.,74.21,89.09,75.71
Financials,Lincoln National,73.86,86.68,61.45
Consumer Discretionary,LKQ Corporation,38.86,43.8599,27.85
Industrials,Lockheed Martin Corp.,334.3,361.79,256.4
Financials,Loews Corp.,46.05,53.59,45.01
Consumer Discretionary,Lowe's Cos.,95.01,108.98,70.76
Materials,LyondellBasell,105.79,121.95,78.01
Financials,M&T Bank Corp.,178.35,193.85,141.12
Real Estate,Macerich,58.36,69.73,52.12
Consumer Discretionary,Macy's Inc.,24.0,33.73,17.405
Energy,Marathon Oil Corp.,15.68,19.52,10.55
Energy,Marathon Petroleum,62.79,73.53,47.39
Consumer Discretionary,Marriott Int'l.,133.88,149.21,85.3725
Financials,Marsh & McLennan,79.31,86.54,69.33
Materials,Martin Marietta Materials,208.42,244.32,191.09
Industrials,Masco Corp.,40.7,46.445,31.29
Information Technology,Mastercard Inc.,160.62,177.11,105.8
Consumer Discretionary,Mattel Inc.,16.0,26.3,12.71
Consumer Staples,McCormick & Co.,101.36,109.67,90.25
Consumer Discretionary,McDonald's Corp.,158.97,178.7,124.36
Health Care,McKesson Corp.,150.23,178.86,133.82
Health Care,Medtronic plc,78.38,89.72,75.44
Health Care,Merck & Co.,54.73,66.8,53.63
Financials,MetLife Inc.,44.28,56.58,44.58
Health Care,Mettler Toledo,601.0,697.26,459.34
Consumer Discretionary,MGM Resorts International,33.5,38.41,25.15
Consumer Discretionary,Michael Kors Holdings,60.03,69.95,32.38
Information Technology,Microchip Technology,79.9,99.17,69.76
Information Technology,Micron Technology,40.0,49.89,22.64
Information Technology,Microsoft Corp.,85.01,96.07,63.22
Real Estate,Mid-America Apartments,85.39,110.95,86.95
Consumer Discretionary,Mohawk Industries,256.57,286.85,209.9
Consumer Staples,Molson Coors Brewing Company,74.51,102.14,75.79
Consumer Staples,Mondelez International,42.68,47.23,39.19
Materials,Monsanto Co.,119.08,123.15,106.97
Consumer Staples,Monster Beverage,61.99,70.215,41.02
Financials,Moody's Corp,152.14,167.23,106.48
Financials,Morgan Stanley,51.79,58.05,40.06
Information Technology,Motorola Solutions Inc.,98.74,107.78,77.23
Health Care,Mylan N.V.,39.25,47.82,29.39
Financials,"Nasdaq, Inc.",75.21,83.29,65.98
Energy,National Oilwell Varco Inc.,32.64,41.895,29.9
Financials,Navient,13.38,16.97,11.481
Information Technology,NetApp,55.85,64.0599,37.43
Information Technology,Netflix Inc.,250.1,286.81,138.26
Consumer Discretionary,Newell Brands,27.91,55.08,23.85
Energy,Newfield Exploration Co,26.38,43.74,24.41
Materials,Newmont Mining Corporation,36.61,42.04,31.42
Consumer Discretionary,News Corp. Class A,15.65,17.29,12.0
Consumer Discretionary,News Corp. Class B,15.85,17.7,12.35
Utilities,NextEra Energy,145.29,159.64,124.18
Industrials,Nielsen Holdings,33.9,45.73,34.22
Consumer Discretionary,Nike,62.49,68.83,50.35
Utilities,NiSource Inc.,22.51,27.76,21.93
Energy,Noble Energy Inc,25.43,39.6,22.985
Consumer Discretionary,Nordstrom,47.23,53.0,37.7924
Industrials,Norfolk Southern Corp.,136.89,157.1499,109.27
Financials,Northern Trust Corp.,96.2,108.91,83.17
Industrials,Northrop Grumman Corp.,324.01,349.18,231.98
Consumer Discretionary,Norwegian Cruise Line,56.01,61.48,46.96
Utilities,NRG Energy,24.0,29.78,14.52
Materials,Nucor Corp.,60.38,70.48,51.67
Information Technology,Nvidia Corporation,217.52,249.27,95.17
Consumer Discretionary,O'Reilly Automotive,252.22,279.23,169.43
Energy,Occidental Petroleum,68.47,78.09,57.2
Consumer Discretionary,Omnicom Group,75.91,86.71,65.32
Energy,ONEOK,54.4,61.36,47.14
Information Technology,Oracle Corp.,46.84,53.14,40.01
Industrials,PACCAR Inc.,66.98,79.69,61.93
Materials,Packaging Corporation of America,111.95,131.1316,88.47
Industrials,Parker-Hannifin,174.51,212.8,145.38
Health Care,Patterson Companies,32.88,48.295,32.07
Information Technology,Paychex Inc.,61.86,73.1,54.2
Information Technology,PayPal,72.32,86.32,39.92
Industrials,Pentair Ltd.,66.67,74.84,57.63
Financials,People's United Financial,18.56,20.14,15.965
Consumer Staples,PepsiCo Inc.,110.15,122.51,104.77
Health Care,PerkinElmer,72.06,84.49,52.63
Health Care,Perrigo,84.44,95.93,63.68
Health Care,Pfizer Inc.,33.63,39.43,31.67
Utilities,PG&E Corp.,38.24,71.57,38.45
Consumer Staples,Philip Morris International,100.39,123.55,96.66
Energy,Phillips 66,92.44,107.47,75.135
Utilities,Pinnacle West Capital,74.34,92.48,73.81
Energy,Pioneer Natural Resources,169.16,199.83,125.46
Financials,PNC Financial Services,149.38,160.07,115.25
Consumer Discretionary,Polo Ralph Lauren Corp.,101.32,119.33,66.06
Materials,PPG Industries,110.3,122.0697,99.57
Utilities,PPL Corp.,29.52,40.2,29.205
Materials,Praxair Inc.,144.07,166.95,115.53
Consumer Discretionary,Priceline.com Inc,1806.06,2067.99,1589.0
Financials,Principal Financial Group,60.38,75.585,58.9401
Consumer Staples,Procter & Gamble,80.22,94.67,80.1
Financials,Progressive Corp.,51.07,58.25,36.84
Real Estate,Prologis,58.33,67.53,48.69
Financials,Prudential Financial,103.38,127.14,97.88
Utilities,Public Serv. Enterprise Inc.,46.73,53.28,41.67
Real Estate,Public Storage,180.49,232.21,180.9254
Consumer Discretionary,Pulte Homes Inc.,28.67,35.21,21.06
Consumer Discretionary,PVH Corp.,142.68,157.96,84.53
Information Technology,Qorvo,76.85,85.24,62.68
Information Technology,QUALCOMM Inc.,62.42,69.28,48.92
Industrials,Quanta Services Inc.,33.51,40.105,30.23
